gripper_name,object_name,pose_id,total_collision_free_grasps,total_grasps,experiment_count,success_rate,
cobotta_gripper,apple,,0,3648,1,0,152
cobotta_gripper,bowl,,134,14664,1,0.91380251,611
cobotta_gripper,chips_can,,0,12552,1,0,523
cobotta_gripper,clamp_XS,,150,3048,1,4.921259843,127
cobotta_gripper,coffee_can,,0,11712,1,0,488
cobotta_gripper,cracker_box,,0,19536,1,0,814
cobotta_gripper,golfball,,0,1008,1,0,42
cobotta_gripper,key,,132,432,1,30.55555556,18
cobotta_gripper,large_marker,,488,2160,1,22.59259259,90
cobotta_gripper,pear_800,,0,2976,1,0,124
cobotta_gripper,phillips_screwdriver,,132,3072,1,4.296875,128
cobotta_gripper,pitcher,,220,52224,1,0.421262255,2176
cobotta_gripper,plate,,380,21168,1,1.795162509,882
cobotta_gripper,power_drill,,0,13704,1,0,571
cobotta_gripper,pudding_box,,0,5592,1,0,233
cobotta_gripper,rope_blocks,,184,62208,1,0.295781893,2592
cobotta_gripper,skillet,,390,47760,1,0.816582915,1990
cobotta_gripper,skillet_lid,,256,33624,1,0.761360933,1401
cobotta_gripper,small_marker,,272,816,1,33.33333333,34
cobotta_gripper,softball,,0,9960,1,0,415
cobotta_gripper,spatula,,316,5640,1,5.602836879,235
cobotta_gripper,tuna_can,,0,3792,1,0,158
cobotta_gripper,washer_10mm,,48,96,1,50,4
robotiq_gripper_140,apple,,3032,3648,1,83.11403509,152
robotiq_gripper_140,bowl,,0,14664,1,0,611
robotiq_gripper_140,chips_can,,6716,12552,1,53.50541746,523
robotiq_gripper_140,clamp_XS,,300,3048,1,9.842519685,127
robotiq_gripper_140,coffee_can,,4208,11712,1,35.92896175,488
robotiq_gripper_140,cracker_box,,3568,19536,1,18.26371826,814
robotiq_gripper_140,golfball,,1008,1008,1,100,42
robotiq_gripper_140,key,,228,432,1,52.77777778,18
robotiq_gripper_140,large_marker,,1344,2160,1,62.22222222,90
robotiq_gripper_140,pear_800,,1162,2976,1,39.04569892,124
robotiq_gripper_140,phillips_screwdriver,,1074,3072,1,34.9609375,128
robotiq_gripper_140,pitcher,,3246,52224,1,6.215533088,2176
robotiq_gripper_140,plate,,1714,21168,1,8.09712774,882
robotiq_gripper_140,power_drill,,966,13704,1,7.049036778,571
robotiq_gripper_140,pudding_box,,4314,5592,1,77.14592275,233
robotiq_gripper_140,rope_blocks,,342,62208,1,0.549768519,2592
robotiq_gripper_140,skillet,,3122,47760,1,6.536850921,1990
robotiq_gripper_140,skillet_lid,,256,33624,1,0.761360933,1401
robotiq_gripper_140,small_marker,,758,816,1,92.89215686,34
robotiq_gripper_140,softball,,7008,9960,1,70.36144578,415
robotiq_gripper_140,spatula,,3494,5640,1,61.95035461,235
robotiq_gripper_140,tuna_can,,2826,3792,1,74.52531646,158
robotiq_gripper_140,washer_10mm,,48,96,1,50,4
robotiq_gripper_85,apple,,116,3648,1,3.179824561,152
robotiq_gripper_85,bowl,,976,14664,1,6.655755592,611
