,time,,x1,y1,z1,x2,y2,z2
1,0,1.75697E+12,,,,,,
2,0.011,1.75697E+12,143.970123,79.840477,548.456482,142.965515,55.882877,549.053955
3,0.022,1.75697E+12,143.957947,79.8787,548.491455,142.962204,55.938545,549.036621
4,0.033,1.75697E+12,143.952026,79.93869,548.429443,143.005722,55.907467,549.28363
5,0.044,1.75697E+12,143.972168,79.874496,548.491211,143.039978,55.946896,549.211182
6,0.055,1.75697E+12,143.959961,79.888016,548.464294,142.991989,55.999451,549.188293
7,0.066,1.75697E+12,143.88765,79.921921,548.468872,143.024567,55.895603,549.012573
8,0.077,1.75697E+12,144.019806,79.914032,548.433105,142.942474,55.827198,549.110046
9,0.088,1.75697E+12,144.059601,79.965843,548.364624,143.032516,55.999123,549.213379
10,0.1,1.75697E+12,143.882263,79.971451,548.477173,142.97345,55.884968,549.259949
11,0.111,1.75697E+12,144.053421,79.883461,548.454529,143.116745,55.972073,549.33429
12,0.122,1.75697E+12,144.037292,79.902336,548.439758,143.060287,55.959671,549.222595
13,0.133,1.75697E+12,143.952026,79.93869,548.429443,143.06398,55.959602,549.124329
14,0.144,1.75697E+12,143.921539,79.837654,548.547424,143.069351,56.001781,549.212646
15,0.155,1.75697E+12,144.047928,79.955322,548.3797,143.02446,55.889198,549.266113
16,0.166,1.75697E+12,143.964844,79.902473,548.523193,143.060287,55.959671,549.222595
17,0.177,1.75697E+12,143.967575,79.990013,548.369507,142.955399,55.890915,549.287109
18,0.188,1.75697E+12,143.958527,79.875977,548.422485,142.943893,55.84486,549.102417
19,0.2,1.75697E+12,144.012222,79.968872,548.377136,143.084732,56.040279,549.165771
20,0.211,1.75697E+12,143.914429,80.022064,548.412415,143.029251,55.944145,549.236023
21,0.222,1.75697E+12,144.024002,79.816071,548.757507,143.038742,55.970776,549.217651
22,0.233,1.75697E+12,143.959091,79.916176,548.451111,142.965073,56.056194,549.135559
23,0.244,1.75697E+12,143.935852,80.024963,548.342834,142.94957,55.968739,549.026306
24,0.255,1.75697E+12,143.952026,79.93869,548.429443,142.959854,55.913483,549.01062
25,0.266,1.75697E+12,144.064896,79.995239,548.331482,143.053696,56.024361,549.179016
26,0.277,1.75697E+12,143.989532,80.004684,548.405884,143.056549,56.059341,549.115601
27,0.288,1.75697E+12,143.966415,79.935539,548.42804,143.023102,55.993744,549.184204
28,0.3,1.75697E+12,144.032135,80.020767,548.536438,142.958817,55.875534,549.124146
29,0.311,1.75697E+12,143.861603,79.822044,548.52478,143.032898,55.895023,549.116943
30,0.322,1.75697E+12,143.959991,79.995567,548.366089,143.01889,55.938484,549.214478
31,0.333,1.75697E+12,143.880386,79.86261,548.593933,143.0336,55.95874,549.158447
32,0.344,1.75697E+12,143.929352,79.974503,548.458191,142.997437,55.948597,549.241699
33,0.355,1.75697E+12,143.88765,79.921921,548.468872,143.013092,55.951744,549.201965
34,0.366,1.75697E+12,143.990799,79.849762,548.511353,142.939468,55.878487,549.127625
35,0.377,1.75697E+12,144.064896,79.995239,548.331482,143.003281,55.961773,549.088074
36,0.388,1.75697E+12,143.844406,79.922974,548.541565,143.068161,55.979301,549.223145
37,0.4,1.75697E+12,143.898941,79.970543,548.472534,143.034271,55.976982,549.167542
38,0.411,1.75697E+12,143.944901,80.025818,548.398254,143.069351,56.001781,549.212646
39,0.422,1.75697E+12,143.88765,79.921921,548.468872,143.02446,55.889198,549.266113
40,0.433,1.75697E+12,143.952026,79.93869,548.429443,143.023804,55.931854,549.055908
41,0.444,1.75697E+12,143.964447,79.863243,548.505798,143.067368,55.953999,549.265198
42,0.455,1.75697E+12,143.965942,79.958229,548.68457,143.054123,56.00927,549.170776
43,0.466,1.75697E+12,144.00145,79.977058,548.372009,143.008438,55.894596,549.224426
44,0.477,1.75697E+12,143.919693,80.00293,548.371765,143.011703,55.978561,549.008789
45,0.488,1.75697E+12,143.929214,79.858307,548.522827,142.912369,55.873718,549.022705
46,0.5,1.75697E+12,143.959091,79.916176,548.451111,143.017075,56.010941,548.939819
47,0.511,1.75697E+12,143.986237,79.902924,548.443848,142.919205,55.913174,549.233765
48,0.522,1.75697E+12,143.944901,80.025818,548.398254,142.960403,55.882702,549.339233
49,0.533,1.75697E+12,,,,,,
50,0.544,1.75697E+12,143.88765,79.921921,548.468872,142.963348,55.813866,549.117615
51,0.555,1.75697E+12,144.053421,79.883461,548.454529,142.98114,55.967819,549.136292
52,0.566,1.75697E+12,143.952026,79.93869,548.429443,143.024445,55.907505,549.259094
53,0.577,1.75697E+12,143.957275,79.980591,548.442383,143.037033,55.987453,549.178772
54,0.588,1.75697E+12,144.04129,79.922134,548.417358,143.050262,55.953548,549.200562
55,0.6,1.75697E+12,143.867096,79.887169,548.512817,143.049606,55.936825,549.06604
56,0.611,1.75697E+12,143.992554,79.891747,548.466003,142.963348,55.813866,549.117615
57,0.622,1.75697E+12,143.925873,79.787186,548.540527,142.987305,55.918217,549.18811
58,0.633,1.75697E+12,143.944366,79.819145,548.618896,143.006714,55.965595,549.199585
59,0.644,1.75697E+12,143.95726,79.850502,548.743103,143.006744,55.880226,549.281738
60,0.655,1.75697E+12,143.952026,79.93869,548.429443,143.019547,56.044357,549.168579
61,0.666,1.75697E+12,144.030914,80.009598,548.327515,142.997345,55.878426,549.048279
62,0.677,1.75697E+12,144.030914,80.009598,548.327515,143.039764,55.909142,549.210266
63,0.688,1.75697E+12,143.867096,79.887169,548.512817,143.069122,55.892433,549.260681
64,0.7,1.75697E+12,144.008224,80.045403,548.356201,143.05986,55.974758,549.230835
65,0.711,1.75697E+12,143.911926,79.762833,548.558777,143.037766,55.877369,549.274597
66,0.722,1.75697E+12,143.93515,79.780228,548.53241,143.028442,55.969566,548.992371
67,0.733,1.75697E+12,143.937622,79.883743,548.49292,142.991852,55.94627,549.005554
68,0.744,1.75697E+12,143.929352,79.974503,548.458191,143.008606,55.931835,549.225098
69,0.755,1.75697E+12,144.030914,80.009598,548.327515,143.035965,55.970417,549.21936
70,0.766,1.75697E+12,143.966614,80.045364,548.310791,143.065643,55.992046,549.153625
71,0.777,1.75697E+12,143.957947,79.8787,548.491455,143.013412,55.873543,549.090271
72,0.788,1.75697E+12,143.912415,79.873558,548.512207,143.048477,55.959961,549.055603
73,0.8,1.75697E+12,144.008224,80.045403,548.356201,143.02803,55.97921,549.236511
74,0.811,1.75697E+12,143.989532,80.004684,548.405884,143.00705,55.807682,549.319275
75,0.822,1.75697E+12,144.054626,79.97522,548.577515,143.053696,55.956009,549.215027
76,0.833,1.75697E+12,144.047928,79.955322,548.3797,142.959854,55.913483,549.01062
77,0.844,1.75697E+12,144.031937,79.875366,548.470337,142.984161,55.863411,549.129211
78,0.855,1.75697E+12,144.035583,79.95182,548.328308,143.003159,55.982689,549.171692
79,0.866,1.75697E+12,143.963348,79.948364,548.474731,142.98819,55.942978,549.219727
80,0.877,1.75697E+12,144.095016,79.932426,548.669067,143.084732,56.040279,549.165771
81,0.888,1.75697E+12,143.846161,79.828728,548.44696,143.022583,56.030067,549.183105
82,0.9,1.75697E+12,144.026779,79.890717,548.455688,142.911499,55.767799,549.126038
